,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
118,Immoweb code : 9297022,79000€,ChausséedeRenaix1467860—Lessines,Houseforsale,110,2,,,No,,,,50,2,,To renovate
119,Immoweb code : 9307985,99000€,RuePierre-JosephDewerpe796040—Jumet,Houseforsale,,2,Semi equipped,,No,,,,,2,,To be done up
120,Immoweb code : 8596802,25000€ + 477€ per month,5140—TONGRINNE|Askfortheexactaddress,Houseforsale,182,4,Installed,,No,,,,589,3,,Good
121,Immoweb code : 9245118,50000€ + 600€ per month,RueChampdor174400—Flemalle,Houseforsale,90,2,Installed,,,,,400,640,4,,As new
122,Immoweb code : 8661380,59500€,7340—Colfontaine|Askfortheexactaddress,Houseforsale,100,3,Semi equipped,,No,,,,410,3,,To renovate
123,Immoweb code : 8367211,64000€,LouisDeBrouckère107301—Hornu,Houseforsale,90,2,,,No,,,,98,,,To renovate
124,Immoweb code : 9280300,75000€,RueduVillez3/15060—Velaine-sur-Sambre,Houseforsale,36,1,Semi equipped,,No,,,,23,2,,As new
125,Immoweb code : 8596759,99000€,4300—Waremme|Askfortheexactaddress,Houseforsale,130,3,Not installed,,,,,,50,2,,To be done up
126,Immoweb code : 8986456,99000€,VieuxThier274570—Marchin,Houseforsale,50,1,Semi equipped,,,,,,2300,4,,To renovate
127,Immoweb code : 9098338,99000€,RuedesBâteliers196030—Marchienne-au-Pont,Houseforsale,136,4,Semi equipped,,No,,,,60,2,,Just renovated
128,Immoweb code : 9281331,100000€,7130—Binche|Askfortheexactaddress,Houseforsale,156,3,Not installed,,No,1,,,380,4,,To renovate
129,Immoweb code : 9293754,99000€,7700—Mouscron|Askfortheexactaddress,Houseforsale,134,2,Installed,,No,,South,,210,2,,To renovate
130,Immoweb code : 9158149,80000€ + 915€ per month,ProchecentreTournai7521—Chercq,Villaforsale,240,3,Installed,,,,,,1853,4,,Good
131,Immoweb code : 9207426,90000€,RO-RueDecrucq987370—Dour,Houseforsale,147,2,Not installed,5,No,,,250,250,2,,To renovate
132,Immoweb code : 9140549,95000€,RuedesVaches3027390—Quaregnon,Houseforsale,100,2,Not installed,64,No,,,,115,2,,Good
